# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
shou shu fei 	手术费	c=1 d=1 t=5254
shou si 	寿司	c=0 d=0.1 t=3702
shou si lang 	寿司郎	c=1 d=1 t=3703
shou suo 	收缩	c=1 d=1 t=114
shou wan 	手腕	c=1 d=1 t=199
shou xin 	收信	c=1 d=1 t=3317
shou xu 	手续	c=1 d=1 t=6460
shou yi 	收益	c=1 d=1 t=1180
shou zhi 	手指	c=1 d=1 t=186
shou zhou 	手肘	c=1 d=1 t=200
shu 	书	c=4 d=1.12247 t=5479
shu 	蜀	c=1 d=1 t=340
shu fu 	束缚	c=1 d=1 t=4564
shu fu 	舒服	c=0 d=0.1 t=3745
shu ji 	书记	c=1 d=1 t=5962
shu jia 	书架	c=1 d=1 t=4782
shu lian 	熟练	c=1 d=1 t=1840
shu shu 	叔叔	c=1 d=1 t=2362
shu tai 	书台	c=1 d=1 t=4778
shu xi 	熟悉	c=1 d=1 t=5704
shu xue 	数学	c=2 d=1.97531 t=1796
shu zhe 	竖着	c=0 d=0.1 t=2679
shu zhe du 	竖着读	c=1 d=1 t=2680
shu zi 	数字	c=2 d=1 t=3384
shuai 	帅	c=1 d=0.138006 t=2379
shuai 	摔	c=1 d=1 t=883
shuai jie 	衰竭	c=1 d=1 t=1175
shuai si 	摔死	c=0 d=0.1 t=5511
shuai si ni 	摔死你	c=1 d=1 t=5512
shuang 	爽	c=3 d=2.24011 t=904
shuang 	霜	c=1 d=1 t=1743
shuang dao 	爽到	c=1 d=1 t=903
shuang dian 	爽点	c=1 d=1 t=1082
shuang feng 	双缝	c=1 d=1 t=4799
shui 	水	c=4 d=1.00087 t=3269
shui 	睡	c=4 d=1.00055 t=5369
shui 	税	c=1 d=0.874916 t=5237
shui biao 	水表	c=3 d=2.96536 t=5523
shui bu zhao 	睡不着	c=1 d=1 t=2218
shui dian 	水电	c=1 d=1 t=2741
shui dian mei 	税电煤	c=1 d=1 t=5238
shui guo 	水果	c=1 d=1 t=2229
shui jiao 	睡觉	c=2 d=1.00014 t=3713
shui ping 	水平	c=1 d=1 t=553
shui shou 	水手	c=2 d=1.99005 t=2837
shui wu 	税务	c=2 d=1.88692 t=5370
shui xiang 	水箱	c=2 d=1.99005 t=4212
shun bian 	顺便	c=1 d=1 t=1818
shun feng 	顺丰	c=3 d=1.25795 t=5804
shuo 	说	c=4 d=1.05182 t=6831
shuo bu ding 	说不定	c=1 d=1 t=4721
shuo cheng 	说成	c=1 d=1 t=2461
shuo cuo le 	说错了	c=1 d=1 t=2487
shuo de 	说的	c=1 d=1 t=5015
shuo de hao 	说得好	c=1 d=1 t=3912
shuo hao de 	说好的	c=1 d=1 t=1121
shuo hua 	说话	c=3 d=1.00007 t=5728
shuo le 	说了	c=1 d=1 t=2463
shuo le suan 	说了算	c=1 d=1 t=5958
shuo qi lai 	说起来	c=1 d=1 t=3743
si 	寺	c=1 d=1 t=1153
si 	死	c=1 d=1 t=2777
si diao 	死掉	c=1 d=1 t=2134
si jia 	私家	c=1 d=0.797676 t=1300
si jia yi yuan 	私家医院	c=1 d=1 t=1301
si kao 	思考	c=3 d=1.00001 t=5955
si qi lai 	撕起来	c=1 d=1 t=5811
si ren 	私人	c=2 d=1 t=2725
si she wu ru 	四舍五入	c=1 d=1 t=6607
si sheng huo 	私生活	c=1 d=1 t=6612
si tou 	四头	c=1 d=1 t=1696
si xing 	私刑	c=1 d=1 t=3684
si xing fan 	死刑犯	c=1 d=1 t=6002
song hui 	送回	c=1 d=1 t=1433
song huo 	送货	c=2 d=1.00509 t=2495
su 	素	c=1 d=1 t=2255
su 	速	c=0 d=0.1 t=6005
su ge la di 	苏格拉底	c=1 d=1 t=2503
su lian 	苏联	c=1 d=1 t=239
suan 	算	c=5 d=1 t=6687
suan bu suan 	算不算	c=2 d=1.00385 t=6107
suan cai 	酸菜	c=1 d=1 t=1717
suan hao 	算好	c=0 d=0.1 t=769
suan ji ge 	算几个	c=1 d=1 t=1101
suan nai 	酸奶	c=1 d=1 t=629
suan shang 	算上	c=1 d=1 t=3546
suan shi 	算是	c=2 d=1.00046 t=5392
suan tong 	酸痛	c=1 d=1 t=1690
sui 	随	c=1 d=1 t=5001
sui bian 	随便	c=0 d=0.1 t=753
sui ran 	虽然	c=1 d=1 t=4837
sui shen 	随身	c=1 d=1 t=5743
sui shi 	随时	c=1 d=1 t=5408
sui shou 	随手	c=1 d=1 t=1475
sui yi 	随意	c=1 d=1 t=5622
sui yuan bi zhu 	虽远必诛	c=1 d=1 t=6080
sun 	孙	c=1 d=1 t=5506
sun shi 	损失	c=1 d=1 t=1202
suo 	锁	c=3 d=1 t=4054
suo hou 	锁喉	c=1 d=1 t=161
suo yi 	所以	c=11 d=1.01139 t=6617
suo yi shi 	所以是	c=1 d=1 t=2637
suo you 	所有	c=2 d=1.10878 t=2916
suo you dong xi 	所有东西	c=1 d=1 t=2887
suo you ren 	所有人	c=1 d=1 t=432
ta 	他	c=6 d=1.98513 t=5910
ta 	她	c=2 d=1.00005 t=3846
ta ke 	他可	c=1 d=1 t=1774
ta men 	她们	c=1 d=1 t=1396
ta men 	它们	c=2 d=1.00001 t=5463
ta shuo 	他说	c=1 d=1 t=2472
ta zuo wei 	他作为	c=1 d=1 t=1815
tai 	台	c=1 d=1 t=5232
tai 	太	c=7 d=1.03321 t=6555
tai da le 	太大了	c=1 d=1 t=1203
tai di 	太低	c=2 d=1.92774 t=2216
tai duo 	太多	c=3 d=1.03598 t=5326
tai duo le 	太多了	c=2 d=1.00001 t=6326
tai duo shi 	太多事	c=1 d=1 t=5600
tai gu guang chang 	太古广场	c=1 d=1 t=1635
tai guo 	泰国	c=5 d=1.99746 t=6640
tai kong 	太空	c=1 d=1 t=3132
tai mei 	台妹	c=4 d=3.93091 t=4273
tai qiang le 	太强了	c=1 d=1 t=3683
tai quan 	泰拳	c=1 d=1 t=4085
tai tian 	太甜	c=1 d=1 t=2077
tai wan 	台湾	c=4 d=1.16395 t=5951
tai yang 	太阳	c=2 d=2.0847 t=2325
tan 	谈	c=1 d=1 t=3192
tan shui 	碳水	c=6 d=4.00619 t=762
tan zai 	谭仔	c=1 d=1 t=5025
tang 	汤	c=1 d=1 t=5495
tang 	糖	c=4 d=2.73514 t=2062
tang 	躺	c=1 d=1 t=572
tang ping 	躺平	c=2 d=1.08214 t=6354
tang qiang 	躺枪	c=1 d=1 t=6401
tao 	套	c=1 d=0.1 t=4567
tao bu shang 	套不上	c=1 d=1 t=4568
tao can 	套餐	c=1 d=1 t=5499
tao chu lai 	掏出来	c=1 d=1 t=6817
tao da yu 	陶大宇	c=1 d=1 t=577
tao lu 	套路	c=1 d=1 t=4886
tao lun 	讨论	c=29 d=3.23545 t=6165
tao qi 	淘气	c=2 d=1 t=6705
tao tai 	淘汰	c=1 d=1 t=2506
tao zhuang 	套装	c=1 d=1 t=3648
te bie 	特别	c=5 d=1.04474 t=6538
te bie chu xi 	特别出席	c=1 d=1 t=6378
te chan 	特产	c=1 d=1 t=5897
te qu 	特区	c=6 d=1.97531 t=5945
te qu hu zhao 	特区护照	c=5 d=1.00333 t=5947
te sou 	特搜	c=1 d=1 t=4679
teng 	疼	c=2 d=1.90484 t=4078
ti 	踢	c=2 d=1.90032 t=5986
ti duan 	踢断	c=1 d=1 t=5990
ti gao 	提高	c=0 d=0.1 t=2226
ti gong 	提供	c=1 d=1 t=5629
ti ji xiao 	体积小	c=1 d=1 t=2432
ti kuan 	提款	c=1 d=1 t=6646
ti qian 	提前	c=2 d=1.03858 t=2148
ti sheng 	提升	c=1 d=1 t=6809
ti shi 	提示	c=1 d=1 t=3530
ti wei 	体位	c=1 d=1 t=4000
ti xing 	提醒	c=1 d=1 t=5884
ti yan 	体验	c=5 d=1.03138 t=5761
ti zao 	提早	c=1 d=1 t=3056
ti zheng 	体征	c=1 d=1 t=3523
ti zhi 	体制	c=1 d=1 t=1296
ti zhong 	体重	c=2 d=1.00002 t=2829
tian 	天	c=3 d=0.771559 t=6673
tian cai 	天才	c=1 d=1 t=1317
tian gong 	天宫	c=1 d=1 t=5200
tian shang 	天上	c=1 d=1 t=575
tian sheng 	天生	c=1 d=1 t=3169
tian tian 	天天	c=6 d=0.549594 t=6263
tian tian chi 	天天吃	c=1 d=1 t=6264
tian wei ji 	甜味剂	c=4 d=1.96561 t=5576
tiao 	条	c=2 d=1 t=5662
tiao 	调	c=1 d=1 t=844
tiao 	跳	c=0 d=0.1 t=6700
tiao chu 	调处	c=0 d=0.1 t=812
tiao chu lai 	调处来	c=1 d=1 t=813
tiao guo 	跳过	c=1 d=1 t=2803
tiao pei 	调配	c=1 d=1 t=808
tiao pi 	调皮	c=1 d=1 t=4278
tie 	贴	c=2 d=1.01804 t=6632
tie tie 	贴贴	c=1 d=1 t=1051
ting 	停	c=2 d=1.00088 t=2064
ting 	听	c=1 d=1 t=6643
ting 	挺	c=3 d=1.00084 t=2123
ting gao de 	听高的	c=1 d=1 t=174
ting hao de 	挺好的	c=1 d=1 t=443
ting qi lai 	听起来	c=4 d=1.64485 t=4387
ting quan 	挺全	c=1 d=1 t=471
ting shuo 	听说	c=1 d=1 t=1672
ting wo shuo 	听我说	c=1 d=1 t=3795
ting xiong 	挺胸	c=1 d=1 t=5173
ting you 	挺有	c=0 d=0.1 t=794
ting you yong de 	挺有用的	c=1 d=1 t=795
tong 	痛	c=0 d=0.1 t=3586
tong 	通	c=0 d=0.1 t=1652
tong chang 	通常	c=2 d=1.99005 t=1516
tong cheng 	同城	c=2 d=1.99005 t=3261
tong ke 	同科	c=0 d=0.1 t=3940
tong qu 	通渠	c=1 d=1 t=2769
tong xing zheng 	通行证	c=1 d=1 t=3038
tong yang 	同样	c=2 d=1.00002 t=5310
tong yi 	同一	c=0 d=0.1 t=432
tong yi zhang lian 	同一张脸	c=1 d=1 t=433
tong zhi 	通知	c=2 d=1.70117 t=6440
tou 	偷	c=1 d=1 t=5285
tou 	头	c=2 d=1.84366 t=4523
tou ji tian 	头几天	c=1 d=1 t=1193
tou ming 	透明	c=0 d=0.1 t=1902
tou qi 	头七	c=1 d=1 t=2958
tou shang 	头上	c=1 d=1 t=3848
tou tong 	头痛	c=1 d=1 t=2925
tou wei 	投喂	c=1 d=1 t=2530
tou xiang 	头像	c=0 d=0.1 t=1067
tu chu lai 	突出来	c=1 d=1 t=4027
tu du 	荼毒	c=1 d=1 t=4456
tu li 	图里	c=2 d=1 t=3890
tu ran 	突然	c=2 d=1.07317 t=2989
tu shu guan 	图书馆	c=2 d=1 t=6037
tu ya 	涂鸦	c=1 d=1 t=4692
tuan 	团	c=1 d=1 t=3247
tui 	推	c=5 d=1.00022 t=6350
tui 	退	c=1 d=1 t=519
tui bao 	退保	c=1 d=1 t=1216
tui chang 	腿长	c=1 d=1 t=4578
tui chu 	推出	c=1 d=1 t=517
tui fang 	退房	c=2 d=1.80654 t=6459
tui jian 	推荐	c=1 d=1.00108 t=916
tui jian bu 	推荐不	c=1 d=1 t=11
tui wen 	推文	c=1 d=1 t=5702
tui xiu 	退休	c=1 d=1 t=1225
tui you 	推油	c=6 d=0.180162 t=6338
tui zu 	退租	c=2 d=1 t=5247
tun 	吞	c=2 d=1.03405 t=5163
tun 	屯	c=0 d=0.1 t=853
tun men 	屯门	c=1 d=1 t=4213
tuo meng 	托梦	c=1 d=1 t=2959
wa 	哇	c=2 d=1.00023 t=2377
wa 	挖	c=1 d=1 t=2787
wa fen 	挖坟	c=1 d=1 t=2786
wai 	外	c=1 d=1 t=5474
wai 	歪	c=1 d=1 t=6077
wai bao 	外包	c=1 d=1 t=860
wai bi 	外币	c=1 d=1 t=6634
wai guo 	外国	c=1 d=1 t=3433
wai hui 	外汇	c=1 d=1 t=3512
wai kuai 	外快	c=1 d=1 t=304
wai mian 	外面	c=2 d=1 t=5446
wai you 	外游	c=1 d=1 t=6639
wan 	丸	c=1 d=1 t=4486
wan 	完	c=1 d=1 t=6120
wan 	弯	c=1 d=1 t=4699
wan 	晚	c=0 d=0.1 t=2856
wan 	玩	c=13 d=1.00261 t=6605
wan an 	晚安	c=1 d=1 t=3187
wan de 	玩的	c=2 d=1.00188 t=1735
wan fa 	玩法	c=1 d=1 t=5350
wan le 	完了	c=0 d=0.1 t=1073
wan mei 	完美	c=2 d=1.02364 t=3099
wan mei de 	完美的	c=1 d=1 t=3110
wan neng 	万能	c=1 d=1 t=6758
wan nian 	万年	c=1 d=1 t=6092
wan ning 	万宁	c=1 d=1 t=1306
wan quan 	完全	c=11 d=4.29468 t=5867
wan shang 	晚上	c=3 d=2.69197 t=2220
wan wan 	玩玩	c=1 d=1 t=1836
wan wan le 	玩完了	c=4 d=1 t=5044
wan zun 	挽尊	c=1 d=1 t=907
wang 	忘	c=1 d=1 t=241
wang 	网	c=1 d=1 t=483
wang ji 	忘记	c=1 d=1 t=3479
wang jiao 	旺角	c=1 d=1 t=372
wang luo 	网络	c=3 d=1.13946 t=4657
wang shang 	网上	c=3 d=1.00502 t=5856
wang shang xing 	网上行	c=4 d=1.99502 t=5529
wang tu 	网图	c=1 d=1 t=1264
wang wen 	网文	c=1 d=1 t=960
wang xiao bo 	王小波	c=2 d=1.99501 t=4483
wang zhan 	网站	c=1 d=1 t=4973
wei 	为	c=2 d=1.90032 t=6465
wei 	位	c=1 d=1 t=650
wei 	味	c=2 d=1.00262 t=5552
wei 	尾	c=2 d=1.98511 t=4198
wei ai 	胃癌	c=2 d=1.99005 t=638
wei bo lu 	微波炉	c=1 d=1 t=3531
wei bu xian zhi 	未卜先知	c=1 d=1 t=6101
wei dao 	味道	c=2 d=1.00024 t=2056
wei jin 	围巾	c=1 d=1 t=4818
wei jing 	胃镜	c=1 d=1 t=635
wei ke xue 	伪科学	c=2 d=1.97531 t=707
wei kou 	胃口	c=1 d=1 t=2391
wei le 	为了	c=1 d=1 t=2059
wei liang yuan su 	微量元素	c=3 d=2.72447 t=822
wei ni 	为你	c=0 d=0.1 t=1283
wei ni zhuo xiang 	为你着想	c=1 d=1 t=1284
wei ren shi biao 	为人师表	c=1 d=1 t=5008
wei sha 	为啥	c=11 d=1.42223 t=6665
wei sha hui 	为啥会	c=1 d=1 t=2247
wei shen me 	为什么	c=2 d=1 t=5125
wei sheng su 	维生素	c=5 d=1.00083 t=2420
wei tuo 	委托	c=2 d=1.81873 t=6503
wei tuo ren 	委托人	c=2 d=1.71177 t=6515
wei tuo shu 	委托书	c=1 d=1 t=6446
wei xiu 	维修	c=2 d=1.09681 t=5590
wei yi de 	唯一的	c=1 d=1.0001 t=2822
wei yi de ni 	唯一的你	c=1 d=1 t=1450
wei zhi 	为止	c=1 d=1 t=6514
wei zhi 	位置	c=1 d=1 t=5524
wen 	温	c=1 d=1 t=1250
wen 	问	c=3 d=1.00001 t=5881
wen cai 	文采	c=1 d=1 t=6563
wen hou 	问候	c=0 d=0.1 t=3457
wen hou le 	问候了	c=1 d=1 t=3458
wen jian 	文件	c=2 d=1 t=6484
wen qing 	文青	c=1 d=1 t=3967
wen shen 	纹身	c=1 d=1 t=3489
wen ta 	问他	c=1 d=1 t=2468
wen ti shi 	问题是	c=1 d=1 t=2823
wen xue bu 	文学部	c=1 d=1 t=1393
wo 	喔	c=12 d=2.43307 t=6749
wo 	我	c=53 d=5.81595 t=6812
wo ai 	我爱	c=2 d=1.9802 t=4272
wo bang 	我帮	c=3 d=1.98022 t=2814
wo bei 	我被	c=1 d=1 t=544
wo ben lai 	我本来	c=1 d=1 t=1196
wo bi jiao 	我比较	c=1 d=1 t=3780
wo biao da 	我表达	c=1 d=1 t=1346
wo bu 	我不	c=0 d=0.1 t=6123
wo bu kong 	我不恐	c=1 d=1 t=490
wo bu shi 	我不是	c=1 d=1 t=2108
wo bu shi ni 	我不是你	c=1 d=1 t=2293
wo bu xin 	我不信	c=1 d=1 t=3017
wo bu xue 	我不学	c=1 d=1 t=6124
wo bu zhi dao 	我不知道	c=1 d=1 t=4
wo cai 	我才	c=1 d=1 t=350
wo chi 	我吃	c=2 d=1.09851 t=5931
wo chi ji 	我吃鸡	c=1 d=1 t=5929
wo cuo le 	我错了	c=2 d=1.00009 t=6801
wo da suan 	我打算	c=2 d=1 t=6191
wo de 	我的	c=2 d=1 t=6466
wo deng 	我等	c=1 d=1 t=1087
wo dian 	我点	c=1 d=1 t=89
wo dou 	我都	c=3 d=1.01011 t=5264
wo dou shi 	我都是	c=1 d=1 t=3633
wo dou wan 	我都玩	c=1 d=1 t=1530
wo fang qi 	我放弃	c=1 d=1 t=2270
wo gong zuo 	我工作	c=1 d=1 t=5403
wo hai yi wei 	我还以为	c=2 d=1 t=5114
wo hai zai 	我还在	c=1 d=1 t=2352
wo hui 	我会	c=0 d=0.1 t=2639
wo hui bu hui 	我会不会	c=1 d=1 t=2640
wo jia li 	我家里	c=1 d=1 t=4659
wo jian 	我见	c=1 d=1 t=3430
wo jiu 	我就	c=1 d=1 t=564
wo jiu shi 	我就是	c=1 d=0.171361 t=3716
wo jiu shi xiang 	我就是想	c=1 d=1 t=3717
wo ju bao 	我举报	c=1 d=1 t=4592
wo jue de 	我觉得	c=3 d=1 t=4932
wo kan kan 	我看看	c=1 d=1 t=3581
wo kan wan 	我看完	c=1 d=1 t=1825
wo lao shi 	喔老师	c=11 d=1.15817 t=6575
wo mei tian 	我每天	c=1 d=1 t=5172
wo mei you 	我没有	c=2 d=1 t=4584
wo men 	我们	c=5 d=2.87683 t=3103
wo men shi 	我们是	c=1 d=1 t=6702
wo qu 	我去	c=1 d=1 t=6843
wo quan 	握拳	c=1 d=1 t=4022
wo sha shi hou 	我啥时候	c=1 d=1 t=4529
wo shang 	我上	c=0 d=0.1 t=2113
wo shang a 	我上啊	c=1 d=1 t=2114
wo shang mian 	我上面	c=1 d=1 t=4443
wo shang xin 	我伤心	c=1 d=1 t=2297
wo shang zhou mo 	我上周末	c=1 d=1 t=3040
wo shi 	我是	c=8 d=1.01536 t=5504
wo shi 	我试	c=0 d=0.1 t=186
wo shi le 	我试了	c=1 d=1 t=187
wo shi shuo 	我是说	c=1 d=1 t=1621
wo shi zai 	我是在	c=2 d=1.00031 t=3351
wo tang ping 	我躺平	c=1 d=1 t=5616
wo wang le 	我忘了	c=1 d=1 t=936
wo xi huan 	我喜欢	c=2 d=1.00281 t=6730
wo xian zai 	我现在	c=1 d=1 t=3853
wo xiang 	我想	c=7 d=1.00158 t=4785
wo xiang yao 	我想要	c=1 d=1 t=5217
wo xuan ze 	我选择	c=1 d=1 t=3626
wo xue xi xue xi 	我学习学习	c=1 d=1 t=69
wo yan jiu le 	我研究了	c=1 d=1 t=438
wo yao kan 	我要看	c=1 d=1 t=4628
wo ye 	我也	c=4 d=1.64961 t=3920
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=1830
wo ye chi a 	我也吃啊	c=1 d=1 t=2235
wo ye da suan 	我也打算	c=1 d=1 t=2277
wo ye hao qi 	我也好奇	c=1 d=1 t=362
wo ye jue de 	我也觉得	c=1 d=1 t=2120
wo ye lai 	我也来	c=1 d=1 t=4536
wo ye yao 	我也要	c=2 d=1 t=6769
wo yi 	我一	c=0 d=0.1 t=6673
wo yi ban 	我一般	c=1 d=1 t=2163
wo yi du yi wei 	我一度以为	c=1 d=1 t=354
wo yi qian 	我以前	c=0 d=0.1 t=311
wo yi qian zuo de 	我以前做的	c=1 d=1 t=312
wo yi tian 	我一天	c=1 d=1 t=6674
wo yi wei 	我以为	c=2 d=1.00069 t=1955
wo yi zhi 	我一直	c=0 d=0.1 t=4700
wo yi zhi wu jie 	我一直误解	c=1 d=1 t=4701
wo yong 	我用	c=1 d=1 t=764
wo zai 	我再	c=1 d=1 t=3398
wo zhao 	我找	c=0 d=0.1 t=2273
wo zhao dian 	我找点	c=1 d=1 t=2274
wo zhe 	我这	c=0 d=0.1 t=1259
wo zhe kan 	我这看	c=1 d=1 t=1260
wo zhi 	我只	c=0 d=0.1 t=1094
wo zhi xiang 	我只想	c=1 d=1 t=6179
wo zhi zhi dao 	我只知道	c=1 d=1 t=1095
wo zhong you ni 	我中有你	c=1 d=1 t=4694
wo zou 	我走	c=1 d=1 t=5394
wo zui jin 	我最近	c=8 d=1.0015 t=6654
wo zui xi huan 	我最喜欢	c=1 d=1 t=3997
wo zuo meng 	我做梦	c=1 d=1 t=2110
wu 	唔	c=2 d=1.00008 t=4857
wu 	屋	c=4 d=1.92887 t=5246
wu 	舞	c=1 d=1 t=1892
wu dao 	悟道	c=1 d=1 t=4464
wu fa 	无法	c=1 d=1 t=6454
wu gong 	蜈蚣	c=1 d=1 t=1510
wu hua 	物化	c=4 d=3.36138 t=4960
wu hui 	唔会	c=1 d=1.0802 t=4182
wu jian 	晤见	c=1 d=1 t=3
wu jie 	误解	c=0 d=0.1 t=4700
wu ke lan 	乌克兰	c=1 d=1 t=5207
wu li 	物理	c=1 d=1 t=2850
wu liao 	无聊	c=1 d=1 t=5418
wu pin 	物品	c=1 d=1 t=2483
wu qi 	武器	c=1 d=1 t=3638
wu ran 	污染	c=1 d=1 t=1404
wu shan 	巫山	c=0 d=0.1 t=1255
wu shu 	武术	c=1 d=1 t=4896
wu xian 	无限	c=1 d=1 t=3659
wu xiang wang 	勿相忘	c=1 d=1 t=6063
wu yuan 	屋苑	c=1 d=1 t=5522
wu yuan wu gu 	无缘无故	c=1 d=1 t=3455
wu zhi 	物质	c=1 d=1 t=4994
wu zui 	捂嘴	c=1 d=1 t=5855
xi 	吸	c=2 d=1.99501 t=272
xi 	喺	c=1 d=1 t=3502
xi 	希	c=1 d=1 t=5538
xi 	席	c=1 d=1 t=6076
xi 	曦	c=1 d=1 t=4981
xi 	系	c=5 d=1 t=6785
xi 	西	c=6 d=1.84528 t=4783
xi an 	西安	c=2 d=1.98511 t=5893
xi ge si 	希格斯	c=1 d=1 t=6021
xi hao 	喜好	c=2 d=1.93239 t=2212
xi huan 	喜欢	c=8 d=1.00461 t=6655
xi jin ping 	习近平	c=2 d=1.956 t=5968
xi lai deng 	喜来登	c=1 d=1 t=4828
xi leng 	西冷	c=1 d=1 t=1028
xi mi 	系米	c=1 d=1 t=1883
xi shi 	西式	c=1 d=1 t=543
xi si 	细丝	c=1 d=1 t=6733
xi si min 	息斯敏	c=1 d=1 t=1305
xi ti 	习题	c=1 d=1 t=1799
xi tiao 	西条	c=1 d=1 t=4803
xi wang 	希望	c=5 d=1 t=5323
xi xi 	嘻嘻	c=6 d=1.99503 t=5012
xi xi 	洗洗	c=0 d=0.1 t=140
xi xi geng jian kang 	洗洗更健康	c=1 d=1 t=141
xi xin 	细心	c=0 d=0.1 t=5009
xi yi 	洗衣	c=1 d=1 t=5147
xia 	下	c=1 d=1 t=1877
xia 	瞎	c=2 d=1.0296 t=1269
xia 	虾	c=1 d=1 t=1309
xia ci 	下次	c=0 d=0.1 t=630
xia ci ke yi shi shi 	下次可以试试	c=1 d=1 t=631
xia de 	吓得	c=1 d=1 t=5668
xia jiang 	下降	c=1 d=1 t=1850
xia liu 	下流	c=1 d=1 t=4541
xia mian 	下面	c=3 d=1.00001 t=4025
xia pao 	吓跑	c=0 d=0.1 t=4499
xia pao le 	吓跑了	c=1 d=1 t=4500
xia po 	下坡	c=1 d=1 t=5390
xia wu 	下午	c=1 d=1 t=6430
xia xiang qi 	下象棋	c=1 d=1 t=6154
xia xing qi yi 	下星期一	c=1 d=1 t=1464
xia yi shi 	下意识	c=1 d=1 t=1853
xia zai 	下载	c=1 d=1 t=1492
xian 	先	c=4 d=1.14852 t=3226
xian 	咸	c=1 d=1 t=5385
xian 	嫌	c=2 d=1.97531 t=2980
xian 	显	c=1 d=1 t=599
xian 	现	c=1 d=1 t=6462
xian bei 	仙贝	c=1 d=1 t=66
xian cheng 	现成	c=1 d=1 t=3540
xian dai 	现代	c=1 d=1 t=5275
xian huo 	现货	c=3 d=2.89904 t=5094
xian jin 	现金	c=3 d=2.95064 t=4660
xian shang 	线上	c=1 d=1 t=5705
xian shi 	显示	c=1 d=1 t=1430
xian wei 	纤维	c=2 d=1 t=3552
xian xia 	线下	c=1 d=1 t=5723
xian zai 	现在	c=9 d=1.64406 t=6598
xian zhuang 	现状	c=1 d=1 t=5621
xiang 	像	c=8 d=1.01427 t=6568
xiang 	想	c=9 d=1.04842 t=6305
xiang 	箱	c=1 d=1 t=6050
xiang 	香	c=1 d=1 t=3267
xiang chang 	香肠	c=2 d=1.98511 t=1962
xiang chou 	乡愁	c=2 d=1.98511 t=73
xiang dao 	想到	c=1 d=1 t=2911
xiang de 	想的	c=1 d=1 t=1983
xiang dui 	相对	c=1 d=1 t=4249
xiang fa 	想法	c=1 d=1 t=5058
xiang feng 	相逢	c=1 d=1 t=1468
xiang gang 	香港	c=55 d=1.9876 t=6802
xiang guan 	相关	c=3 d=1.95634 t=6483
xiang le 	想了	c=1 d=1 t=4901
xiang lian 	相连	c=1 d=1 t=1375
xiang mao 	香茅	c=1 d=1 t=3598
xiang nian 	想念	c=1 d=1 t=5226
xiang qi lai 	想起来	c=2 d=1.05182 t=3059
xiang qu 	想去	c=0 d=0.1 t=496
xiang shi 	想试	c=1 d=1 t=680
xiang shuo 	想说	c=2 d=1.00114 t=2457
xiang si 	相似	c=1 d=1 t=4989
xiang wen 	想问	c=1 d=0.100061 t=6104
xiang wen ni 	想问你	c=1 d=1 t=6105
xiang xiang 	想像	c=2 d=1 t=4408
xiang yi wei ming 	相依为命	c=1 d=1 t=4477
xiang ying 	相应	c=1 d=1 t=6491
xiang zai 	想在	c=2 d=1 t=5433
xiang zhuang 	相撞	c=1 d=1 t=6132
xiang zuo 	想做	c=0 d=0.1 t=2860
xiang zuo le 	想做了	c=1 d=1 t=2861
xiao 	小	c=8 d=1.06295 t=6266
xiao 	消	c=1 d=1 t=5978
xiao 	笑	c=1 d=1 t=2806
xiao di 	小弟	c=1 d=1 t=3416
xiao fei 	消费	c=2 d=1 t=5531
xiao gou 	小狗	c=0 d=0.1 t=2522
xiao guo 	效果	c=1 d=1 t=5312
xiao hao 	小号	c=3 d=1.00063 t=5984
xiao hao 	消耗	c=1 d=1 t=5720
xiao hao le 	消耗了	c=1 d=1 t=1718
xiao hu zi 	小胡子	c=1 d=1 t=2636
xiao hua 	消化	c=1 d=1 t=621
xiao hui 	销毁	c=1 d=1 t=3407
xiao jie 	小姐	c=1 d=1 t=6464
xiao lan 	小蓝	c=0 d=0.1 t=3244
xiao lan niao 	小蓝鸟	c=1 d=1 t=3245
xiao ling tong 	小灵通	c=1 d=1 t=1096
xiao mei mei 	小妹妹	c=1 d=1 t=5486
xiao meng 	小萌	c=1 d=1 t=2353
xiao shi 	小时	c=2 d=1.03422 t=2173
xiao shuo 	小说	c=1 d=1 t=5055
xiao tou ming 	小透明	c=1 d=1 t=1903
xiao wei ba 	小尾巴	c=1 d=1 t=4189
xiao xiao 	小小	c=1 d=1 t=5085
xiao xin 	小心	c=1 d=1 t=1141
xiao yao 	逍遥	c=1 d=1 t=63
xie 	些	c=1 d=1 t=5780
xie 	写	c=5 d=1.92031 t=5277
xie dai 	携带	c=2 d=1 t=5744
xie de 	写的	c=0 d=0.1 t=1396
xie de shi 	写的诗	c=1 d=1 t=1397
xie dian 	写点	c=0 d=0.1 t=301
xie dian dong xi 	写点东西	c=1 d=1 t=302
xie guo 	写过	c=0 d=0.1 t=3621
xie po 	斜坡	c=1 d=1 t=6720
xie shi 	写实	c=1 d=1 t=6784
xie xie 	谢谢	c=4 d=1.0876 t=5631
xie xie ni 	谢谢你	c=1 d=1 t=3796
xie zuo 	写作	c=1 d=1 t=6072
xin 	新	c=4 d=1.14226 t=5698
